timestamp_utc,session_id,event_type,molecule_name,smiles,cas_number,region,user_type,quantity,risk_level
2026-07-03T05:56:14.954685+00:00,f4ccf936-fdc8-4b40-94ef-7aa100271767,supplier_tab_viewed,Acetaminophen,,,Switzerland,Student,Not sure,
2026-07-03T05:56:24.408619+00:00,f4ccf936-fdc8-4b40-94ef-7aa100271767,supplier_tab_viewed,Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,103-90-2,Switzerland,Student,Not sure,
2026-07-03T05:56:33.606605+00:00,f4ccf936-fdc8-4b40-94ef-7aa100271767,supplier_tab_viewed,Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,103-90-2,Switzerland,Professional,Not sure,
2026-07-03T05:58:31.278025+00:00,a5d0721e-222e-4fb3-af81-bf11b5819a26,supplier_tab_viewed,Ibuprofen,,,Switzerland,Student,Not sure,
2026-07-03T05:58:42.193300+00:00,a5d0721e-222e-4fb3-af81-bf11b5819a26,supplier_tab_viewed,Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,58560-75-1,Switzerland,Student,Not sure,
2026-07-03T05:58:56.397114+00:00,a5d0721e-222e-4fb3-af81-bf11b5819a26,supplier_tab_viewed,Ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,58560-75-1,Switzerland,Professional,Not sure,
2026-07-03T06:02:25.349756+00:00,e557c23f-0dd7-4e9e-81cb-e25182aebe65,supplier_tab_viewed,Acetylsalicylic acid,,,Switzerland,Student,Not sure,
2026-07-03T06:02:39.771977+00:00,e557c23f-0dd7-4e9e-81cb-e25182aebe65,supplier_tab_viewed,Acetylsalicylic acid,CC(=O)Oc1ccccc1C(=O)O,,Switzerland,Hobbyist,Not sure,
2026-07-03T06:02:46.444966+00:00,e557c23f-0dd7-4e9e-81cb-e25182aebe65,supplier_tab_viewed,Acetylsalicylic acid,CC(=O)Oc1ccccc1C(=O)O,,Switzerland,Professional,Not sure,
2026-07-03T06:05:17.293482+00:00,00b858b6-9795-44a7-8f8a-2bfff2936f7b,supplier_tab_viewed,Guanine,,,Switzerland,Student,Not sure,
2026-07-03T06:05:36.129896+00:00,00b858b6-9795-44a7-8f8a-2bfff2936f7b,supplier_tab_viewed,Guanine,C1=NC2=C(N1)C(=O)NC(=N2)N,73-40-5,Switzerland,Student,Not sure,
2026-07-03T06:05:46.648084+00:00,00b858b6-9795-44a7-8f8a-2bfff2936f7b,supplier_tab_viewed,Guanine,C1=NC2=C(N1)C(=O)NC(=N2)N,73-40-5,Switzerland,Professional,Not sure,
2026-07-03T06:08:34.824990+00:00,b485499a-27ee-4b50-b95f-278c15cf0136,supplier_tab_viewed,Acetaminophen,,,Switzerland,Student,Not sure,
2026-07-03T06:08:50.195356+00:00,b485499a-27ee-4b50-b95f-278c15cf0136,supplier_tab_viewed,Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,103-90-2,Switzerland,Student,Not sure,
2026-07-03T06:09:03.713638+00:00,b485499a-27ee-4b50-b95f-278c15cf0136,supplier_tab_viewed,Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,103-90-2,Switzerland,Professional,Not sure,
2026-07-03T06:11:56.453777+00:00,f1671344-23ff-48ff-a739-51593c76c0d4,supplier_tab_viewed,Cholesterol,,,Switzerland,Student,Not sure,
