timestamp_utc,session_id,event_type,molecule_name,smiles,cas_number,supplier_name,supplier_url,region,user_type,quantity,risk_level
2026-07-03T06:02:52.706742+00:00,e557c23f-0dd7-4e9e-81cb-e25182aebe65,supplier_search_intent,Acetylsalicylic acid,CC(=O)Oc1ccccc1C(=O)O,,VWR / Avantor,https://www.vwr.com/store/product?keyword=Acetylsalicylic+acid,Switzerland,Professional,Not sure,standard_caution
2026-07-03T06:05:49.898225+00:00,00b858b6-9795-44a7-8f8a-2bfff2936f7b,supplier_search_intent,Guanine,C1=NC2=C(N1)C(=O)NC(=N2)N,73-40-5,Carl Roth,https://www.carlroth.com/com/en/search?text=73-40-5,Switzerland,Professional,Not sure,standard_caution
2026-07-03T06:09:17.470119+00:00,b485499a-27ee-4b50-b95f-278c15cf0136,supplier_search_intent,Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,103-90-2,Carl Roth,https://www.carlroth.com/com/en/search?text=103-90-2,Switzerland,Professional,Not sure,standard
2026-07-03T06:12:35.111565+00:00,f1671344-23ff-48ff-a739-51593c76c0d4,supplier_search_intent,Cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,57-88-5,Sigma-Aldrich,https://www.sigmaaldrich.com/CH/en/search/57-88-5?focus=products,Switzerland,Professional,Not sure,standard_caution
2026-07-03T06:18:41.303887+00:00,21620ee5-6e59-495b-a04e-bea510923466,supplier_search_intent,Toluene,CC1=CC=CC=C1,108-88-3,TCI Chemicals,https://www.tcichemicals.com/CH/en/search?q=108-88-3,Switzerland,Professional,Not sure,standard_caution
2026-07-03T06:35:49.848658+00:00,0fb57c9e-7146-4201-8048-307bcf111f78,supplier_search_intent,benzene,C1=CC=CC=C1,71-43-2,TCI Chemicals,https://www.tcichemicals.com/CH/en/search?q=71-43-2,Switzerland,Professional,Not sure,high_caution
2026-07-03T06:43:16.737884+00:00,e07f49b5-41da-421d-8644-a15dfcd8b815,supplier_search_intent,Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,58-08-2,VWR / Avantor,https://www.vwr.com/store/product?keyword=58-08-2,Switzerland,Professional,Not sure,standard
2026-07-03T07:09:35.246983+00:00,06d8af2f-4ccb-403c-b8df-d735eaef3b02,supplier_search_intent,Benzene,C1=CC=CC=C1,71-43-2,VWR / Avantor,https://www.vwr.com/store/product?keyword=71-43-2,Switzerland,Professional,Not sure,high_caution
2026-08-16T11:37:06.652346+00:00,ee2f8be5-7283-4aef-805d-cb5c6e5ce5e8,supplier_search_intent,Cubane,C12C3C4C1C5C2C3C45,277-10-1,Sigma-Aldrich,https://www.sigmaaldrich.com/CH/en/search/277-10-1?focus=products,US,Teacher,mg,standard_caution
2026-08-16T11:38:36.397415+00:00,ee2f8be5-7283-4aef-805d-cb5c6e5ce5e8,supplier_search_intent,Cubane,C12C3C4C1C5C2C3C45,277-10-1,Fisher Scientific,https://www.fishersci.com/us/en/catalog/search/products?keyword=277-10-1,US,Teacher,mg,standard_caution
2026-09-03T12:36:50.449865+00:00,c9818086-d519-4ac8-811a-29debeea2315,supplier_search_intent,5-Aminofluorescein,C1=CC2=C(C=C1N)C(=O)OC23C4=C(C=C(C=C4)O)OC5=C3C=CC(=C5)O,3326-34-9,Sigma-Aldrich,https://www.sigmaaldrich.com/CH/en/search/3326-34-9?focus=products,Switzerland,Professional,mg,standard_caution
2026-09-22T08:01:16.333244+00:00,142499b9-79b3-48c9-ae1a-861b6c4cebd1,supplier_search_intent,Piperine,C1CCN(CC1)C(=O)/C=C/C=C/C2=CC3=C(C=C2)OCO3,94-62-2,Sigma-Aldrich,https://www.sigmaaldrich.com/CH/en/search/94-62-2?focus=products,Switzerland,Professional,kg,standard_caution
